Field,Precision,Recall,Accuracy
studyLevel,0.875,0.875,0.875
schools,0.9166666666666666,0.9166666666666666,0.875
departments,0.875,0.875,0.875
ectsMin,0.9583333333333334,0.9583333333333334,0.9583333333333334
ectsMax,1.0,1.0,1.0
topicsOfInterest,0.831547619047619,0.8043154761904763,0.7672123015873016
topicsToExclude,0.9583333333333334,0.9583333333333334,0.9583333333333334
previousModules,1.0,1.0,1.0
previousModuleIds,1.0,1.0,1.0
languages,0.8333333333333334,0.8333333333333334,0.8333333333333334
aggregated,0.9248214285714285,0.9220982142857143,0.9142212301587301
