,Question,Mean
0,I think that I would like to use this system frequently,4.4
1,I found the system unnecessarily complex,1.4
2,I thought the system was easy to use,4.2
3,4. I think that I would need the support of a technical person to be able to use this system,1.2
4,I found the various functions in this system were well integrated,4.4
5,I thought there was too much inconsistency in this system,2.1
6,I would imagine that most people would learn to use this system very quickly,4.9
7,I found the system very cumbersome to use,1.5
8,I felt very confident using the system,3.2
9,I needed to learn a lot of things before I could get going with this system,1.1
