User Study #;Study Level;Major;semester;Task 1: Preferred List;Task 2: Preferred List;Task 2: Ranking L1;Task 2: Ranking L2;Remarks
1;BA;Informatics;8;2;2;5;1;Liked AI Summary
2;BA;Civil Engineering;4;2;2;/;/;
3;BA;Informatics;8;2;2;1;1;Liked AI Summary
4;BA;Political Science;3;2;2;14;2;Liked AI Summary
5;MA;Information Systems;6;2;2;9;1;
6;MA;Management & Technology;1;1;1;3;4;Help Message, AI Summary
7;BA;Management & Technology;6;2;2;25;1;Liked AI Summary
8;BA;Informatics;3;1;2;30;4;Liked AI Summary, Example Text, Help Message
9;MA;Data Engineering;1;2;2;1;1;Filter out prev modules, AI Summary
10;BA;Information Systems;9;2;2;9;2;
